nid:ID,:LABEL,label,date
0,News,0,2017-01-01
8,News,1,2017-01-01
86,News,2,2017-01-01
126,News,3,2017-01-01
129,News,4,2017-01-01
158,News,5,2017-01-01
161,News,6,2017-01-01
203,News,7,2017-01-01
216,News,8,2017-01-01
231,News,9,2017-01-01
281,News,10,2017-01-01
303,News,11,2017-01-01
351,News,12,2017-01-01
361,News,13,2017-01-01
368,News,14,2017-01-01
373,News,15,2017-01-01
389,News,16,2017-01-01
406,News,17,2017-01-01
425,News,18,2017-01-01
483,News,19,2017-01-01
502,News,20,2017-01-01
599,News,21,2017-01-01
612,News,22,2017-01-01
621,News,23,2017-01-01
687,News,24,2017-01-01
709,News,25,2017-01-01
712,News,26,2017-01-01
784,News,27,2017-01-01
808,News,28,2017-01-01
902,News,29,2017-01-01
960,News,30,2017-01-01
1023,News,31,2017-01-01
1049,News,32,2017-01-01
1055,News,33,2017-01-01
1274,News,34,2017-01-01
1291,News,35,2017-01-01
1309,News,36,2017-01-01
1323,News,37,2017-01-01
1331,News,38,2017-01-01
1347,News,39,2017-01-01
1368,News,40,2017-01-01
1381,News,41,2017-01-01
1384,News,42,2017-01-01
1393,News,43,2017-01-01
1426,News,44,2017-01-01
1457,News,45,2017-01-01
1475,News,46,2017-01-01
1512,News,47,2017-01-01
1520,News,48,2017-01-01
1524,News,49,2017-01-01
1525,News,50,2017-01-01
1555,News,51,2017-01-01
1566,News,52,2017-01-01
1584,News,53,2017-01-01
1626,News,54,2017-01-01
1643,News,55,2017-01-01
1647,News,56,2017-01-01
1653,News,57,2017-01-01
1672,News,58,2017-01-01
1680,News,59,2017-01-01
1731,News,60,2017-01-01
1775,News,61,2017-01-01
1830,News,62,2017-01-01
1843,News,63,2017-01-01
1844,News,64,2017-01-01
1859,News,65,2017-01-01
1877,News,66,2017-01-01
1892,News,67,2017-01-01
1893,News,68,2017-01-01
1895,News,69,2017-01-01
1901,News,70,2017-01-01
1915,News,71,2017-01-01
1919,News,72,2017-01-01
1986,News,73,2017-01-01
1987,News,74,2017-01-01
2007,News,75,2017-01-02
2015,News,76,2017-01-02
